"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"110",5916,"Herne, Stadt",154608,0.866724,5,10,3
"111",5954,"Ennepe-Ruhr-Kreis",322916,0.552301,2,3,2
"112",5958,"Hochsauerlandkreis",261561,0.671637,3,6,2
"113",5962,"Märkischer Kreis",413820,0.681142,3,6,2
"114",5966,"Olpe",134759,0.582923,2,4,2
"115",5970,"Siegen-Wittgenstein",275909,0.575006,2,4,2
"116",5974,"Soest",296742,0.646729,3,6,2
"117",5978,"Unna",391774,0.735748,4,8,2
"118",6411,"Darmstadt, Wissenschaftsstadt",151879,0.263705,1,1,1
"119",6412,"Frankfurt am Main, Stadt",717624,0.345858,1,1,1
"120",6413,"Offenbach am Main, Stadt",120988,0.79347,5,9,3
"121",6414,"Wiesbaden, Landeshauptstadt",275116,0.515417,2,3,2
"122",6431,"Bergstraße",263822,0.488351,1,2,1
"123",6432,"Darmstadt-Dieburg",287966,0.470414,1,2,1
"124",6433,"Groß-Gerau",260793,0.479758,1,2,1
"125",6434,"Hochtaunuskreis",230798,0.15106,1,1,1
"126",6435,"Main-Kinzig-Kreis",407619,0.561162,2,4,2
"127",6436,"Main-Taunus-Kreis",229976,0.179469,1,1,1
"128",6437,"Odenwaldkreis",96082,0.684114,3,6,2
"129",6438,"Offenbach",341669,0.431435,1,2,1
"130",6439,"Rheingau-Taunus-Kreis",182117,0.43852,1,2,1
"131",6440,"Wetteraukreis",297369,0.509522,2,3,2
"132",6531,"Gießen",259834,0.571265,2,4,2
"133",6532,"Lahn-Dill-Kreis",251440,0.599319,2,4,2
"134",6533,"Limburg-Weilburg",170385,0.603115,3,5,2
"135",6534,"Marburg-Biedenkopf",241598,0.570674,2,4,2
"136",6535,"Vogelsbergkreis",105763,0.655333,3,6,2
"137",6611,"Kassel, documenta-Stadt",194747,0.703506,4,7,2
"138",6631,"Fulda",217326,0.57979,2,4,2
"139",6632,"Hersfeld-Rotenburg",119394,0.618066,3,5,2
"140",6633,"Kassel",233451,0.548521,2,3,2
"141",6634,"Schwalm-Eder-Kreis",179466,0.64803,3,6,2
"142",6635,"Waldeck-Frankenberg",156460,0.712062,4,7,2
"143",6636,"Werra-Meißner-Kreis",100206,0.764107,4,8,2
"144",7111,"Koblenz, kreisfreie Stadt",111434,0.648276,3,6,2
"145",7131,"Ahrweiler",126643,0.62235,3,5,2
"146",7132,"Altenkirchen (Westerwald)",128228,0.764204,4,8,2
"147",7133,"Bad Kreuznach",155944,0.685716,3,6,2
"148",7134,"Birkenfeld",80591,0.763365,4,8,2
"149",7135,"Cochem-Zell",62041,0.739385,4,8,2
"150",7137,"Mayen-Koblenz",210441,0.696007,4,7,2
"151",7138,"Neuwied",179317,0.673126,3,6,2
"152",7140,"Rhein-Hunsrück-Kreis",101945,0.640932,3,5,2
"153",7141,"Rhein-Lahn-Kreis",121487,0.678297,3,6,2
"154",7143,"Westerwaldkreis",199131,0.687186,4,7,2
"155",7211,"Trier, kreisfreie Stadt",108472,0.702027,4,7,2
"156",7231,"Bernkastel-Wittlich",110981,0.659523,3,6,2
"157",7232,"Eifelkreis Bitburg-Prüm",96408,0.753105,4,8,2
"158",7233,"Vulkaneifel",60775,0.73076,4,7,2
"159",7235,"Trier-Saarburg",145227,0.747461,4,8,2
"160",7311,"Frankenthal (Pfalz), kreisfreie Stadt",47724,0.646733,3,6,2
"161",7312,"Kaiserslautern, kreisfreie Stadt",97382,0.746177,4,8,2
"162",7313,"Landau in der Pfalz, kreisfreie Stadt",44465,0.644154,3,5,2
"163",7314,"Ludwigshafen am Rhein, kreisfreie Stadt",163832,0.683087,3,6,2
"164",7315,"Mainz, kreisfreie Stadt",206991,0.340963,1,1,1
"165",7316,"Neustadt an der Weinstraße, kreisfreie Stadt",52564,0.556198,2,3,2
"166",7317,"Pirmasens, kreisfreie Stadt",40046,0.917463,5,10,3
"167",7318,"Speyer, kreisfreie Stadt",49855,0.533617,2,3,2
"168",7319,"Worms, kreisfreie Stadt",81010,0.731482,4,7,2
"169",7320,"Zweibrücken, kreisfreie Stadt",34011,0.679517,3,6,2
"170",7331,"Alzey-Worms",125998,0.59497,2,4,2
"171",7332,"Bad Dürkheim",131530,0.546896,2,3,2
"172",7333,"Donnersbergkreis",74962,0.703135,4,7,2
"173",7334,"Germersheim",126266,0.557825,2,4,2
"174",7335,"Kaiserslautern",104288,0.710435,4,7,2
"175",7336,"Kusel",70883,0.743022,4,8,2
"176",7337,"Südliche Weinstraße",109735,0.609608,3,5,2
"177",7338,"Rhein-Pfalz-Kreis",150051,0.477969,1,2,1
"178",7339,"Mainz-Bingen",204514,0.389097,1,1,1
"179",7340,"Südwestpfalz",96410,0.676021,3,6,2
"180",8111,"Stuttgart",612441,0.260433,1,1,1
"181",8115,"Böblingen",374279,0.291937,1,1,1
"182",8116,"Esslingen",516779,0.345953,1,1,1
"183",8117,"Göppingen",250117,0.530815,2,3,2
"184",8118,"Ludwigsburg",526377,0.357482,1,1,1
"185",8119,"Rems-Murr-Kreis",414016,0.435167,1,2,1
"186",8121,"Heilbronn",119841,0.41054,1,1,1
"187",8125,"Heilbronn",329250,0.460544,1,2,1
"188",8126,"Hohenlohekreis",108816,0.516682,2,3,2
"189",8127,"Schwäbisch Hall",188974,0.574183,2,4,2
"190",8128,"Main-Tauber-Kreis",130299,0.56774,2,4,2
"191",8135,"Heidenheim",128894,0.477922,1,2,1
"192",8136,"Ostalbkreis",308205,0.479735,1,2,1
"193",8211,"Baden-Baden",53342,0.427646,1,1,1
"194",8212,"Karlsruhe",300051,0.367442,1,1,1
"195",8215,"Karlsruhe",431315,0.446477,1,2,1
"196",8216,"Rastatt",224687,0.493129,1,2,1
"197",8221,"Heidelberg",154715,0.225846,1,1,1
"198",8222,"Mannheim",299844,0.540975,2,3,2
"199",8225,"Neckar-Odenwald-Kreis",141651,0.641,3,5,2
"200",8226,"Rhein-Neckar-Kreis",534729,0.431234,1,1,1
"201",8231,"Pforzheim",119291,0.71826,4,7,2
"202",8235,"Calw",152766,0.560327,2,4,2
"203",8236,"Enzkreis",193728,0.456181,1,2,1
"204",8237,"Freudenstadt",115147,0.553846,2,3,2
"205",8311,"Freiburg im Breisgau",222203,0.460602,1,2,1
"206",8315,"Breisgau-Hochschwarzwald",252749,0.537122,2,3,2
"207",8316,"Emmendingen",159708,0.56989,2,4,2
"208",8317,"Ortenaukreis",415639,0.578293,2,4,2
"209",8325,"Rottweil",135912,0.53624,2,3,2
"210",8326,"Schwarzwald-Baar-Kreis",206116,0.577694,2,4,2
"211",8327,"Tuttlingen",134607,0.552813,2,3,2
"212",8335,"Konstanz",275785,0.572244,2,4,2
"213",8336,"Lörrach",223692,0.619535,3,5,2
"214",8337,"Waldshut",165211,0.679471,3,6,2
"215",8415,"Reutlingen",278031,0.464847,1,2,1
"216",8416,"Tübingen",218355,0.388069,1,1,1
"217",8417,"Zollernalbkreis",186360,0.562653,2,4,2
"218",8421,"Ulm",120714,0.318705,1,1,1
"219",8425,"Alb-Donau-Kreis",189129,0.477669,1,2,1
"220",8426,"Biberach",190438,0.483674,1,2,1
"221",8435,"Bodenseekreis",209386,0.369099,1,1,1
"222",8436,"Ravensburg",275339,0.522679,2,3,2
"223",8437,"Sigmaringen",127716,0.670422,3,6,2
"224",9161,"Ingolstadt",131002,0.29064,1,1,1
"225",9162,"München, Landeshauptstadt",1429584,0.165031,1,1,1
"226",9163,"Rosenheim",60889,0.550372,2,3,2
"227",9171,"Altötting",107465,0.473524,1,2,1
"228",9172,"Berchtesgadener Land",102976,0.645854,3,5,2
"229",9173,"Bad Tölz-Wolfratshausen",123340,0.418344,1,1,1
"230",9174,"Dachau",146279,0.370905,1,1,1
"231",9175,"Ebersberg",134873,0.24556,1,1,1
"232",9176,"Eichstätt",127189,0.397287,1,1,1
"233",9177,"Erding",131839,0.434659,1,2,1
"234",9178,"Freising",170357,0.312922,1,1,1
"235",9179,"Fürstenfeldbruck",210278,0.289091,1,1,1
"236",9180,"Garmisch-Partenkirchen",85931,0.535513,2,3,2
"237",9181,"Landsberg am Lech",116118,0.448753,1,2,1
"238",9182,"Miesbach",96773,0.420902,1,1,1
"239",9183,"Mühldorf a.Inn",110296,0.611171,3,5,2
"240",9184,"München",332800,0.010114,1,1,1
"241",9185,"Neuburg-Schrobenhausen",93505,0.526653,2,3,2
"242",9186,"Pfaffenhofen a.d.Ilm",121594,0.407758,1,1,1
"243",9187,"Rosenheim",251850,0.49271,1,2,1
"244",9188,"Starnberg",131873,0.096175,1,1,1
"245",9189,"Traunstein",171978,0.514406,2,3,2
"246",9190,"Weilheim-Schongau",131190,0.447884,1,2,1
"247",9261,"Landshut",67509,0.464991,1,2,1
"248",9262,"Passau",49952,0.588939,2,4,2
