PLZ4;Raumtyp_Lage_bez
3436;peripher
3437;zentral
3438;peripher
3439;peripher
3441;zentral
3443;peripher
3445;peripher
3446;peripher
3447;zentral
3449;peripher
3450;peripher
3451;peripher
3453;peripher
3454;peripher
3456;peripher
3457;peripher
3458;peripher
3459;peripher
3461;peripher
3462;peripher
3463;peripher
3503;zentral
3504;zentral
3506;sehr peripher
3507;zentral
3508;peripher
3509;peripher
3510;peripher
3511;peripher
3521;peripher
3523;peripher
3526;peripher
3527;peripher
3528;peripher
3530;zentral
3531;zentral
3532;zentral
3539;sehr zentral
3541;zentral
3542;sehr zentral
3543;zentral
3544;zentral
3545;zentral
3546;zentral
3551;sehr zentral
3557;sehr zentral
3558;sehr zentral
3560;zentral
3561;zentral
3562;sehr zentral
3563;zentral
3564;zentral
3568;zentral
3569;zentral
3570;zentral
3571;peripher
3574;zentral
3575;zentral
3576;zentral
3578;zentral
3579;zentral
3603;zentral
3604;peripher
3608;peripher
3609;peripher
3610;peripher
3611;peripher
3612;peripher
3613;peripher
3614;peripher
3615;peripher
3616;peripher
3617;peripher
3619;peripher
3620;peripher
3621;peripher
3625;peripher
3626;peripher
3627;peripher
3628;peripher
3630;peripher
3631;peripher
3632;peripher
3634;peripher
3635;peripher
3636;peripher
3638;peripher
3639;peripher
3640;peripher
3641;peripher
3643;peripher
3644;peripher
3645;sehr peripher
3646;peripher
3711;peripher
3712;peripher
3713;peripher
3715;zentral
3717;peripher
3718;peripher
3719;peripher
3721;peripher
3723;peripher
3724;peripher
3726;peripher
3727;peripher
3728;peripher
3729;peripher
3730;peripher
3731;peripher
3732;peripher
3733;peripher
3734;peripher
3735;peripher
3741;peripher
3743;peripher
3744;peripher
3752;peripher
3753;zentral
3757;peripher
3758;peripher
3760;peripher
3761;peripher
3762;peripher
3763;peripher
3764;peripher
3767;peripher
3768;peripher
3769;peripher
3810;sehr zentral
3811;zentral
3812;zentral
3815;peripher
3816;zentral
3817;peripher
3822;zentral
3823;zentral
3825;zentral
3826;zentral
3827;zentral
3830;zentral
3831;zentral
3832;peripher
3835;peripher
3836;peripher
3837;peripher
3838;peripher
3844;zentral
3845;peripher
3846;peripher
3847;peripher
3848;sehr peripher
3851;zentral
3852;zentral
3853;zentral
3854;zentral
3855;zentral
3864;peripher
3866;peripher
3867;peripher
3868;peripher
3869;peripher
3870;peripher
3872;zentral
3882;peripher
3883;peripher
3885;peripher
3887;peripher
3888;peripher
3889;peripher
3910;zentral
3911;zentral
3912;zentral
3913;peripher
3916;peripher
3917;peripher
3921;peripher
3922;peripher
3924;peripher
3926;peripher
3927;peripher
3928;peripher
3929;peripher
3930;sehr peripher
3931;sehr peripher
3932;peripher
3934;peripher
3935;peripher
3936;peripher
3938;peripher
3939;peripher
3941;peripher
3943;peripher
3944;peripher
3951;peripher
3952;sehr peripher
3953;sehr peripher
3957;sehr peripher
3959;sehr peripher
3960;sehr peripher
3961;sehr peripher
3962;sehr peripher
3963;peripher
3964;peripher
4021;sehr zentral
4022;sehr zentral
4023;sehr zentral
4046;sehr zentral
4047;sehr zentral
4048;sehr zentral
4054;sehr zentral
4058;sehr zentral
4059;sehr zentral
4062;sehr zentral
4066;sehr zentral
4067;sehr zentral
4069;sehr zentral
4072;sehr zentral
4076;sehr zentral
4078;sehr zentral
4082;sehr zentral
4087;sehr zentral
4088;sehr zentral
4106;sehr zentral
4116;sehr zentral
4117;sehr zentral
4118;sehr zentral
4119;sehr zentral
4123;sehr zentral
4133;sehr zentral
4135;sehr zentral
4136;sehr zentral
4137;sehr zentral
4146;sehr zentral
4147;sehr zentral
4151;sehr zentral
4153;sehr zentral
4154;sehr zentral
4156;sehr zentral
4174;sehr zentral
4175;sehr zentral
4181;sehr zentral
4183;sehr zentral
4184;sehr zentral
4210;sehr zentral
4211;sehr zentral
4227;sehr zentral
4228;sehr zentral
4232;sehr zentral
4234;sehr zentral
4236;sehr zentral
4238;sehr zentral
4239;sehr zentral
4247;sehr zentral
4248;sehr zentral
4249;sehr zentral
4254;sehr zentral
4255;sehr zentral
4257;sehr zentral
4265;sehr zentral
4269;sehr zentral
4271;sehr zentral
4278;sehr zentral
4279;sehr zentral
4285;sehr zentral
4289;sehr zentral
4292;sehr zentral
4413;sehr zentral
4414;sehr zentral
4422;sehr zentral
4426;sehr zentral
4428;sehr zentral
4430;sehr zentral
4431;sehr zentral
4432;sehr zentral
4433;sehr zentral
4435;sehr zentral
4436;sehr zentral
4437;sehr zentral
4438;sehr zentral
4453;sehr zentral
4457;sehr zentral
4458;sehr zentral
4462;sehr zentral
4464;sehr zentral
4465;sehr zentral
4478;sehr zentral
4479;sehr zentral
4480;sehr zentral
4486;sehr zentral
4487;sehr zentral
4489;sehr zentral
4512;sehr zentral
4513;sehr zentral
4514;sehr zentral
4521;sehr zentral
4523;sehr zentral
4525;sehr zentral
4527;sehr zentral
4528;sehr zentral
4530;sehr zentral
4532;sehr zentral
4535;sehr zentral
4546;sehr zentral
4547;sehr zentral
4548;sehr zentral
4552;sehr zentral
4554;sehr zentral
4565;sehr zentral
4566;sehr zentral
4569;sehr zentral
4570;sehr zentral
4571;sehr zentral
4572;sehr zentral
4573;sehr zentral
4576;sehr zentral
4577;sehr zentral
4587;sehr zentral
4588;sehr zentral
4589;sehr zentral
4596;sehr zentral
4604;sehr zentral
4611;sehr zentral
4614;sehr zentral
4623;sehr zentral
4624;sehr zentral
4628;sehr zentral
4632;sehr zentral
4634;sehr zentral
4635;sehr zentral
4639;sehr zentral
4641;sehr zentral
4644;sehr zentral
4645;sehr zentral
4648;sehr zentral
4649;sehr zentral
4650;sehr zentral
4651;sehr zentral
4653;sehr zentral
4656;sehr zentral
4705;sehr zentral
4711;sehr zentral
4713;sehr zentral
4716;sehr zentral
4717;sehr zentral
4719;sehr zentral
4722;sehr zentral
4723;sehr zentral
4724;sehr zentral
4725;sehr zentral
4726;sehr zentral
4727;sehr zentral
4744;sehr zentral
4747;sehr zentral
4749;sehr zentral
4750;sehr zentral
4753;zentral
4754;sehr zentral
4755;zentral
4757;sehr zentral
4758;sehr zentral
4760;sehr zentral
4762;sehr zentral
4763;sehr zentral
4764;sehr zentral
4765;sehr zentral
4766;sehr zentral
4779;sehr zentral
4780;sehr zentral
4782;sehr zentral
4783;sehr zentral
4787;sehr zentral
4790;sehr zentral
4791;sehr zentral
4792;sehr zentral
4814;sehr zentral
4815;sehr zentral
4816;sehr zentral
4823;zentral
4824;sehr zentral
4826;zentral
4828;zentral
4829;zentral
4830;sehr zentral
4831;sehr zentral
4832;zentral
4833;zentral
4834;zentral
4835;zentral
4836;zentral
4842;zentral
4843;zentral
4845;zentral
4846;zentral
4847;zentral
4848;zentral
4849;zentral
4852;zentral
4853;zentral
4856;zentral
4859;sehr zentral
4860;zentral
4861;zentral
4862;zentral
4865;sehr zentral
4868;sehr zentral
4869;zentral
4870;zentral
4871;zentral
4872;zentral
4873;sehr zentral
4907;sehr zentral
4908;sehr zentral
4909;sehr zentral
4912;sehr zentral
4913;zentral
4914;sehr zentral
4915;zentral
4916;zentral
4917;zentral
4918;zentral
4919;zentral
4920;zentral
4921;zentral
4932;zentral
4935;peripher
4937;zentral
4939;zentral
4940;peripher
4941;peripher
4942;zentral
4943;zentral
4944;peripher
4945;peripher
4947;zentral
4949;zentral
4950;zentral
4952;zentral
4953;zentral
4954;zentral
4956;zentral
4957;peripher
4958;peripher
4959;zentral
4961;peripher
4962;peripher
4963;peripher
4966;peripher
4968;peripher
4969;peripher
4971;peripher
4973;peripher
