"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"321",1054088,"Niebüll, Stadt",9736,0.671987,4,7,2
"322",1054089,"Norddorf auf Amrum",563,0.642798,3,6,2
"323",1054090,"Norderfriedrichskoog",43,0.68986,4,8,2
"324",1054091,"Nordstrand",2197,0.678942,4,7,2
"325",1054092,"Norstedt",388,0.673516,4,7,2
"326",1054093,"Ockholm",318,0.68234,4,7,2
"327",1054094,"Oevenum",458,0.642798,3,6,2
"328",1054095,"Oldenswort",1261,0.68986,4,8,2
"329",1054096,"Oldersbek",678,0.678942,4,7,2
"330",1054097,"Olderup",442,0.678942,4,7,2
"331",1054098,"Oldsum",507,0.642798,3,6,2
"332",1054099,"Ostenfeld (Husum)",1536,0.678942,4,7,2
"333",1054100,"Osterhever",224,0.68986,4,8,2
"334",1054101,"Oster-Ohrstedt",606,0.673516,4,7,2
"335",1054103,"Pellworm",1158,0.671551,4,7,2
"336",1054104,"Poppenbüll",239,0.68986,4,8,2
"337",1054105,"Ramstedt",420,0.678942,4,7,2
"338",1054106,"Rantrum",1818,0.678942,4,7,2
"339",1054108,"Reußenköge",325,0.724397,4,8,2
"340",1054109,"Risum-Lindholm",3693,0.671987,4,7,2
"341",1054110,"Rodenäs",409,0.671987,4,7,2
"342",1054113,"Sankt Peter-Ording",3933,0.68986,4,8,2
"343",1054116,"Schwabstedt",1322,0.678942,4,7,2
"344",1054118,"Schwesing",914,0.673516,4,7,2
"345",1054119,"Seeth",574,0.678942,4,7,2
"346",1054120,"Simonsberg",803,0.678942,4,7,2
"347",1054121,"Sönnebüll",278,0.68234,4,7,2
"348",1054123,"Sollwitt",289,0.673516,4,7,2
"349",1054124,"Sprakebüll",235,0.671987,4,7,2
"350",1054125,"Stadum",993,0.671987,4,7,2
"351",1054126,"Stedesand",903,0.671987,4,7,2
"352",1054128,"Struckum",969,0.68234,4,7,2
"353",1054129,"Süderende",175,0.642798,3,6,2
"354",1054130,"Süderhöft",20,0.678942,4,7,2
"355",1054131,"Süderlügum",2311,0.671987,4,7,2
"356",1054132,"Südermarsch",163,0.678942,4,7,2
"357",1054134,"Tating",940,0.68986,4,8,2
"358",1054135,"Tetenbüll",647,0.68986,4,8,2
"359",1054136,"Tinningstedt",249,0.671987,4,7,2
"360",1054138,"Tönning, Stadt",4852,0.691185,4,8,2
"361",1054140,"Tümlauer Koog",113,0.68986,4,8,2
"362",1054141,"Uelvesbüll",280,0.678942,4,7,2
"363",1054142,"Uphusum",385,0.671987,4,7,2
"364",1054143,"Utersum",404,0.642798,3,6,2
"365",1054144,"Viöl",2151,0.673516,4,7,2
"366",1054145,"Vollerwiek",201,0.68986,4,8,2
"367",1054146,"Vollstedt",183,0.68234,4,7,2
"368",1054148,"Welt",217,0.68986,4,8,2
"369",1054149,"Wenningstedt-Braderup (Sylt)",1444,0.667183,4,7,2
"370",1054150,"Westerhever",109,0.68986,4,8,2
"371",1054152,"Wester-Ohrstedt",1004,0.673516,4,7,2
"372",1054154,"Westre",367,0.671987,4,7,2
"373",1054156,"Winnert",710,0.678942,4,7,2
"374",1054157,"Wisch",103,0.678942,4,7,2
"375",1054158,"Witsum",38,0.642798,3,6,2
