"";"JAHR";"PLZ3";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"483";1998;726;0,07417;114472;1;1;1
"484";1998;727;0,173034;131689;1;2;1
"485";1998;728;0,152599;58572;1;2;1
"486";1998;730;0,077603;157175;1;1;1
"487";1998;731;0,068466;29886;1;1;1
"488";1998;732;0,06853;151558;1;1;1
"489";1998;733;0,088741;60201;1;1;1
"490";1998;734;0,185706;180570;1;2;1
"491";1998;735;0,201085;135066;2;3;2
"492";1998;736;0,092296;119421;1;1;1
"493";1998;737;0,051425;172515;1;1;1
"494";1998;740;0,154405;121521;1;2;1
"495";1998;741;0,138901;100684;1;2;1
"496";1998;742;0,124551;101643;1;2;1
"497";1998;743;0,088896;187156;1;1;1
"498";1998;744;0,168499;35784;1;2;1
"499";1998;745;0,18981;160872;2;3;2
"500";1998;746;0,026059;100006;1;1;1
"501";1998;747;0,218524;62086;2;3;2
"502";1998;748;0,200113;116110;2;3;2
"503";1998;749;0,208841;71670;2;3;2
"504";1998;750;0,182166;88103;1;2;1
"505";1998;751;0,249049;133215;2;4;2
"506";1998;752;0,05997;82388;1;1;1
"507";1998;753;0,122368;115830;1;2;1
"508";1998;754;0,072494;64874;1;1;1
"509";1998;761;0,300497;209227;3;5;2
"510";1998;762;0,232891;180761;2;3;2
"511";1998;763;0,154059;111244;1;2;1
"512";1998;764;0,068615;103065;1;1;1
"513";1998;765;0,071421;123509;1;1;1
"514";1998;766;0,195063;125463;2;3;2
"515";1998;767;0,155701;121958;1;2;1
"516";1998;768;0,268088;164542;2;4;2
"517";1998;776;0,230805;93024;2;3;2
"518";1998;777;0,154427;153424;1;2;1
"519";1998;778;0,094154;121460;1;1;1
"520";1998;779;0,214365;111035;2;3;2
"521";1998;780;0,141942;122110;1;2;1
"522";1998;781;0,10563;110114;1;1;1
"523";1998;782;0,315172;114673;3;5;2
"524";1998;783;0,298686;72443;3;5;2
"525";1998;784;0,337589;95184;3;5;2
"526";1998;785;0,011106;96321;1;1;1
"527";1998;786;0,07526;89169;1;1;1
"528";1998;787;0,045726;41474;1;1;1
"529";1998;790;0,495273;1957;4;8;2
"530";1998;791;0,432547;284204;4;7;2
"531";1998;792;0,20867;166151;2;3;2
"532";1998;793;0,218825;133199;2;3;2
"533";1998;794;0,251177;42602;2;4;2
"534";1998;795;0,266994;109961;2;4;2
"535";1998;796;0,204004;109264;2;3;2
"536";1998;797;0,260268;119652;2;4;2
"537";1998;798;0,226888;73381;2;3;2
"538";1998;803;0,099618;40934;1;1;1
"539";1998;804;0,099618;5666;1;1;1
"540";1998;805;0,099618;13272;1;1;1
"541";1998;806;0,099618;100976;1;1;1
"542";1998;807;0,099618;17659;1;1;1
"543";1998;808;0,099618;85871;1;1;1
"544";1998;809;0,099607;361860;1;1;1
"545";1998;812;0,099771;228204;1;1;1
"546";1998;813;0,099613;105567;1;1;1
"547";1998;814;0,099604;61732;1;1;1
"548";1998;815;0,099714;81578;1;1;1
"549";1998;816;0,099618;67069;1;1;1
"550";1998;817;0,099963;73701;1;1;1
"551";1998;818;0,099443;101871;1;1;1
"552";1998;819;0,099532;95201;1;1;1
"553";1998;820;0,11679;109082;1;1;1
"554";1998;821;0,107555;158275;1;1;1
"555";1998;822;0,134087;165771;1;2;1
"556";1998;823;0,11779;136207;1;2;1
"557";1998;824;0,246904;106656;2;4;2
"558";1998;825;0,138204;59562;1;2;1
"559";1998;830;0,235049;174983;2;3;2
"560";1998;831;0,202213;64897;2;3;2
"561";1998;832;0,221462;73262;2;3;2
"562";1998;833;0,202192;131358;2;3;2
"563";1998;834;0,277882;85561;2;4;2
"564";1998;835;0,149912;66893;1;2;1
"565";1998;836;0,196267;107975;2;3;2
"566";1998;837;0,222821;57234;2;3;2
"567";1998;840;0,156383;198846;1;2;1
"568";1998;841;0,09578;133538;1;1;1
