"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"177",8119090,"Remshalden",13630,0.394003,1,2,1
"178",8119091,"Weinstadt, Stadt",26373,0.405004,1,2,1
"179",8119093,"Kernen im Remstal",15041,0.420462,1,2,1
"180",8121000,"Heilbronn, Stadt",119841,0.463602,2,4,2
"181",8125001,"Abstatt",4588,0.416684,1,2,1
"182",8125005,"Bad Friedrichshall, Stadt",18592,0.449703,2,4,2
"183",8125006,"Bad Rappenau, Stadt",20268,0.449186,2,4,2
"184",8125007,"Bad Wimpfen, Stadt",6848,0.44354,2,3,2
"185",8125008,"Beilstein, Stadt",6161,0.416684,1,2,1
"186",8125013,"Brackenheim, Stadt",15220,0.4379,2,3,2
"187",8125017,"Cleebronn",2818,0.4379,2,3,2
"188",8125021,"Eberstadt",3148,0.4346,2,3,2
"189",8125024,"Ellhofen",3483,0.4346,2,3,2
"190",8125026,"Eppingen, Stadt",21094,0.465462,2,4,2
"191",8125027,"Erlenbach",4926,0.438852,2,3,2
"192",8125030,"Flein",6811,0.400354,1,2,1
"193",8125034,"Gemmingen",4990,0.465462,2,4,2
"194",8125038,"Güglingen, Stadt",6089,0.455764,2,4,2
"195",8125039,"Gundelsheim, Stadt",7148,0.434357,2,3,2
"196",8125046,"Ilsfeld",9056,0.416684,1,2,1
"197",8125047,"Ittlingen",2433,0.465462,2,4,2
"198",8125048,"Jagsthausen",1762,0.480859,3,5,2
"199",8125049,"Kirchardt",5634,0.449186,2,4,2
"200",8125056,"Lauffen am Neckar, Stadt",10931,0.42405,1,2,1
"201",8125057,"Lehrensteinsfeld",2281,0.4346,2,3,2
"202",8125058,"Leingarten",11092,0.40024,1,2,1
"203",8125059,"Löwenstein, Stadt",3166,0.449119,2,4,2
"204",8125061,"Massenbachhausen",3379,0.445858,2,3,2
"205",8125063,"Möckmühl, Stadt",7817,0.480859,3,5,2
"206",8125065,"Neckarsulm, Stadt",25798,0.438852,2,3,2
"207",8125066,"Neckarwestheim",3590,0.42405,1,2,1
"208",8125068,"Neudenau, Stadt",5079,0.432023,2,3,2
"209",8125069,"Neuenstadt am Kocher, Stadt",9546,0.429031,2,3,2
"210",8125074,"Nordheim",7898,0.42405,1,2,1
"211",8125078,"Oedheim",6185,0.449703,2,4,2
"212",8125079,"Offenau",2685,0.449703,2,4,2
"213",8125081,"Pfaffenhofen",2310,0.455764,2,4,2
"214",8125084,"Roigheim",1391,0.480859,3,5,2
"215",8125086,"Schwaigern, Stadt",11062,0.445858,2,3,2
"216",8125087,"Siegelsbach",1627,0.449186,2,4,2
"217",8125094,"Talheim",4917,0.400354,1,2,1
"218",8125096,"Untereisesheim",4129,0.438852,2,3,2
"219",8125098,"Untergruppenbach",8122,0.416684,1,2,1
"220",8125102,"Weinsberg, Stadt",11615,0.4346,2,3,2
"221",8125103,"Widdern, Stadt",1827,0.480859,3,5,2
"222",8125107,"Wüstenrot",6665,0.471969,3,5,2
"223",8125108,"Zaberfeld",3903,0.455764,2,4,2
"224",8125110,"Obersulm",13478,0.449119,2,4,2
"225",8125111,"Hardthausen am Kocher",3975,0.429031,2,3,2
"226",8125113,"Langenbrettach",3713,0.429031,2,3,2
"227",8126011,"Bretzfeld",12307,0.492231,3,6,2
"228",8126020,"Dörzbach",2448,0.506299,3,6,2
"229",8126028,"Forchtenberg, Stadt",4933,0.490411,3,6,2
"230",8126039,"Ingelfingen, Stadt",5532,0.51142,4,7,2
"231",8126045,"Krautheim, Stadt",4526,0.506299,3,6,2
"232",8126046,"Künzelsau, Stadt",14926,0.51142,4,7,2
"233",8126047,"Kupferzell",5852,0.507097,3,6,2
"234",8126056,"Mulfingen",3705,0.506299,3,6,2
"235",8126058,"Neuenstein, Stadt",6391,0.507097,3,6,2
"236",8126060,"Niedernhall, Stadt",3925,0.490411,3,6,2
"237",8126066,"Öhringen, Stadt",22949,0.513177,4,7,2
"238",8126069,"Pfedelbach",9108,0.513177,4,7,2
"239",8126072,"Schöntal",5541,0.488869,3,6,2
"240",8126085,"Waldenburg, Stadt",2976,0.507097,3,6,2
"241",8126086,"Weißbach",2028,0.490411,3,6,2
"242",8126094,"Zweiflingen",1669,0.513177,4,7,2
"243",8127008,"Blaufelden",5174,0.567255,5,9,3
"244",8127009,"Braunsbach",2455,0.536141,4,8,2
"245",8127012,"Bühlertann",3022,0.551142,4,8,2
"246",8127013,"Bühlerzell",2017,0.551142,4,8,2
"247",8127014,"Crailsheim, Stadt",33209,0.560542,5,9,3
"248",8127023,"Fichtenberg",2822,0.542971,4,8,2
"249",8127025,"Gaildorf, Stadt",12084,0.542971,4,8,2
"250",8127032,"Gerabronn, Stadt",4177,0.5655,5,9,3
"251",8127043,"Ilshofen, Stadt",6259,0.549709,4,8,2
"252",8127046,"Kirchberg an der Jagst, Stadt",4106,0.574094,5,9,3
"253",8127047,"Langenburg, Stadt",1735,0.5655,5,9,3
"254",8127052,"Mainhardt",5864,0.554968,5,9,3
"255",8127056,"Michelbach an der Bilz",3411,0.546626,4,8,2
"256",8127059,"Michelfeld",3690,0.546626,4,8,2
"257",8127062,"Oberrot",3569,0.542971,4,8,2
"258",8127063,"Obersontheim",4711,0.551142,4,8,2
"259",8127071,"Rot am See",5192,0.574094,5,9,3
