"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1299",9573133,"Wilhermsdorf, Markt",5071,0.413575,1,2,1
"1300",9573134,"Zirndorf, Stadt",24558,0.407803,1,2,1
"1301",9574111,"Alfeld",1087,0.458645,2,4,2
"1302",9574112,"Altdorf b.Nürnberg, Stadt",15175,0.426027,1,2,1
"1303",9574117,"Burgthann",11093,0.424651,1,2,1
"1304",9574120,"Engelthal",1115,0.445482,2,3,2
"1305",9574123,"Feucht, Markt",13092,0.43283,2,3,2
"1306",9574128,"Happurg",3595,0.458645,2,4,2
"1307",9574129,"Hartenstein",1451,0.465395,2,4,2
"1308",9574131,"Henfenfeld",1889,0.445482,2,3,2
"1309",9574132,"Hersbruck, Stadt",12132,0.464165,2,4,2
"1310",9574135,"Kirchensittenbach",2042,0.445791,2,3,2
"1311",9574138,"Lauf a.d.Pegnitz, Stadt",26122,0.433921,2,3,2
"1312",9574139,"Leinburg",6524,0.414606,1,2,1
"1313",9574140,"Neuhaus a.d.Pegnitz, Markt",2893,0.46377,2,4,2
"1314",9574141,"Neunkirchen a.Sand",4704,0.443076,2,3,2
"1315",9574145,"Offenhausen",1549,0.445482,2,3,2
"1316",9574146,"Ottensoos",2028,0.417246,1,2,1
"1317",9574147,"Pommelsbrunn",5151,0.464758,2,4,2
"1318",9574150,"Reichenschwand",2308,0.448862,2,3,2
"1319",9574152,"Röthenbach a.d.Pegnitz, Stadt",11807,0.451623,2,3,2
"1320",9574154,"Rückersdorf",4413,0.415711,1,2,1
"1321",9574155,"Schnaittach, Markt",8105,0.443253,2,3,2
"1322",9574156,"Schwaig b.Nürnberg",8589,0.421192,1,2,1
"1323",9574157,"Schwarzenbruck",8285,0.431065,1,2,1
"1324",9574158,"Simmelsdorf",3154,0.451949,2,3,2
"1325",9574160,"Velden, Stadt",1794,0.465395,2,4,2
"1326",9574161,"Vorra",1698,0.465395,2,4,2
"1327",9574164,"Winkelhaid",4123,0.438156,2,3,2
"1328",9575112,"Bad Windsheim, Stadt",11977,0.578098,4,8,2
"1329",9575113,"Baudenbach, Markt",1165,0.571448,4,8,2
"1330",9575115,"Burgbernheim, Stadt",3044,0.579016,4,8,2
"1331",9575116,"Burghaslach, Markt",2511,0.602096,5,9,3
"1332",9575117,"Dachsbach, Markt",1697,0.554586,4,7,2
"1333",9575118,"Diespeck",3585,0.571448,4,8,2
"1334",9575119,"Dietersheim",2138,0.582938,4,8,2
"1335",9575121,"Emskirchen, Markt",5908,0.564454,4,7,2
"1336",9575122,"Ergersheim",1077,0.59339,5,9,3
"1337",9575124,"Gallmersgarten",755,0.579016,4,8,2
"1338",9575125,"Gerhardshofen",2516,0.554586,4,7,2
"1339",9575127,"Gollhofen",830,0.59339,5,9,3
"1340",9575128,"Gutenstetten",1309,0.571448,4,8,2
"1341",9575129,"Hagenbüchach",1325,0.557848,4,7,2
"1342",9575130,"Hemmersheim",675,0.59339,5,9,3
"1343",9575133,"Illesheim",942,0.579016,4,8,2
"1344",9575134,"Ippesheim, Markt",1146,0.59339,5,9,3
"1345",9575135,"Ipsheim, Markt",2093,0.567535,4,7,2
"1346",9575138,"Langenfeld",987,0.586821,4,8,2
"1347",9575143,"Marktbergel, Markt",1541,0.579016,4,8,2
"1348",9575144,"Markt Bibart, Markt",1820,0.586821,4,8,2
"1349",9575145,"Markt Erlbach, Markt",5564,0.562981,4,7,2
"1350",9575146,"Markt Nordheim, Markt",1146,0.59339,5,9,3
"1351",9575147,"Markt Taschendorf, Markt",993,0.586821,4,8,2
"1352",9575150,"Münchsteinach",1380,0.571448,4,8,2
"1353",9575152,"Neuhof a.d.Zenn, Markt",2071,0.571292,4,8,2
"1354",9575153,"Neustadt a.d.Aisch, Stadt",12520,0.572769,4,8,2
"1355",9575155,"Oberickelsheim",679,0.59339,5,9,3
"1356",9575156,"Obernzenn, Markt",2629,0.606919,5,9,3
"1357",9575157,"Oberscheinfeld, Markt",1168,0.586821,4,8,2
"1358",9575161,"Scheinfeld, Stadt",4565,0.586821,4,8,2
"1359",9575163,"Simmershofen",874,0.59339,5,9,3
"1360",9575165,"Sugenheim, Markt",2269,0.586821,4,8,2
"1361",9575166,"Trautskirchen",1306,0.571292,4,8,2
"1362",9575167,"Uehlfeld, Markt",2905,0.554586,4,7,2
"1363",9575168,"Uffenheim, Stadt",6236,0.59339,5,9,3
"1364",9575179,"Weigenheim",1000,0.59339,5,9,3
"1365",9575181,"Wilhelmsdorf",1462,0.557848,4,7,2
"1366",9576111,"Abenberg, Stadt",5492,0.517952,3,6,2
"1367",9576113,"Allersberg, Markt",8019,0.513309,3,5,2
"1368",9576117,"Büchenbach",5225,0.504833,3,5,2
"1369",9576121,"Georgensgmünd",6611,0.522622,3,6,2
"1370",9576122,"Greding, Stadt",7018,0.510059,3,5,2
"1371",9576126,"Heideck, Stadt",4600,0.522564,3,6,2
"1372",9576127,"Hilpoltstein, Stadt",13221,0.524043,3,6,2
"1373",9576128,"Kammerstein",2845,0.499428,3,5,2
"1374",9576132,"Schwanstetten, Markt",7330,0.492714,3,5,2
"1375",9576137,"Rednitzhembach",6807,0.482493,3,5,2
"1376",9576141,"Röttenbach",2905,0.522584,3,6,2
"1377",9576142,"Rohr",3566,0.506282,3,5,2
"1378",9576143,"Roth, Stadt",24476,0.51282,3,5,2
"1379",9576147,"Spalt, Stadt",4937,0.517715,3,6,2
"1380",9576148,"Thalmässing, Markt",5190,0.531778,3,6,2
"1381",9576151,"Wendelstein, Markt",15648,0.479908,3,5,2
"1382",9577111,"Absberg, Markt",1308,0.590385,5,9,3
"1383",9577113,"Alesheim",976,0.584775,4,8,2
"1384",9577114,"Muhr a.See",2181,0.58813,4,8,2
"1385",9577115,"Bergen",1082,0.572098,4,8,2
"1386",9577120,"Burgsalach",1143,0.572098,4,8,2
"1387",9577122,"Dittenheim",1754,0.584775,4,8,2
"1388",9577125,"Ellingen, Stadt",3638,0.574269,4,8,2
"1389",9577127,"Ettenstatt",846,0.574269,4,8,2
"1390",9577133,"Gnotzheim, Markt",834,0.604807,5,9,3
"1391",9577136,"Gunzenhausen, Stadt",16385,0.595841,5,9,3
"1392",9577138,"Haundorf",2674,0.590385,5,9,3
