"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"99",12062500,"Uebigau-Wahrenbrück, Stadt",5532,0.747858,3,5,2
"100",12063036,"Brieselang",11167,0.723252,2,4,2
"101",12063056,"Dallgow-Döberitz",9280,0.73397,2,4,2
"102",12063080,"Falkensee, Stadt",41777,0.729846,2,4,2
"103",12063088,"Friesack, Stadt",2546,0.798375,4,7,2
"104",12063094,"Gollenberg",417,0.8815,5,9,3
"105",12063112,"Großderschau",449,0.8815,5,9,3
"106",12063134,"Havelaue",877,0.8815,5,9,3
"107",12063142,"Wiesenaue",757,0.798375,4,7,2
"108",12063148,"Ketzin/Havel, Stadt",6355,0.759962,3,5,2
"109",12063161,"Kleßen-Görne",340,0.8815,5,9,3
"110",12063165,"Kotzen",571,0.85859,5,9,3
"111",12063186,"Märkisch Luch",1279,0.85859,5,9,3
"112",12063189,"Milower Land",4314,0.845823,4,8,2
"113",12063202,"Mühlenberge",726,0.798375,4,7,2
"114",12063208,"Nauen, Stadt",16761,0.77717,3,6,2
"115",12063212,"Nennhausen",1871,0.85859,5,9,3
"116",12063228,"Paulinenaue",1233,0.798375,4,7,2
"117",12063240,"Pessin",649,0.798375,4,7,2
"118",12063244,"Premnitz, Stadt",8430,0.8659,5,9,3
"119",12063252,"Rathenow, Stadt",24127,0.892724,5,9,3
"120",12063256,"Retzow",518,0.798375,4,7,2
"121",12063260,"Rhinow, Stadt",1649,0.8815,5,9,3
"122",12063273,"Schönwalde-Glien",9202,0.735291,2,4,2
"123",12063274,"Seeblick",922,0.8815,5,9,3
"124",12063293,"Stechow-Ferchesar",883,0.85859,5,9,3
"125",12063357,"Wustermark",8308,0.727934,2,4,2
"126",12064009,"Alt Tucheband",760,0.889906,5,9,3
"127",12064029,"Altlandsberg, Stadt",8996,0.715963,2,4,2
